HotelID,HotelName,CityID,AreaID,StarClass,NbRooms,Amenities,Daily,Reviews,PageUrl,Attractions_NearBy,Walkable_Grade
13403186,Courtyard Boston Downtown/North Station,60745,60745,3.0,220,"Restaurant,Bar/Lounge,Free High Speed Internet (WiFi),Fitness Center with Gym / Workout Room,Room service,Banquet Room,Breakfast Available,Business Center with Internet Access,Conference Facilities,Dry Cleaning,Laundry Service,Meeting rooms,Multilingual Staff,Non-smoking hotel,Public Wifi,Self-Serve Laundry,Wheelchair access,Air conditioning,Microwave,Refrigerator in room,Accessible rooms,Family Rooms,Non-smoking rooms,Suites",1,217 reviews,https://www.tripadvisor.com/Hotel_Review-g60745-d13403186-Reviews-Courtyard_Boston_Downtown_North_Station-Boston_Massachusetts.html,25,100
94399,Club Quarters Hotel in Boston,60745,60745,4.0,178,"Free High Speed Internet (WiFi),Room service,Restaurant,Fitness Center with Gym / Workout Room,Bar/Lounge,Business Center with Internet Access,Concierge,Dry Cleaning,Laundry Service,Meeting rooms,Multilingual Staff,Non-smoking hotel,Public Wifi,Wheelchair access,Air conditioning,Accessible rooms,Family Rooms,Non-smoking rooms,Suites",1,"2,498 reviews",https://www.tripadvisor.com/Hotel_Review-g60745-d94399-Reviews-Club_Quarters_Hotel_in_Boston-Boston_Massachusetts.html,83,100
94326,Hilton Boston Downtown / Faneuil Hall,60745,60745,4.0,403,"Restaurant,Fitness Center with Gym / Workout Room,Room service,Bar/Lounge,Free Internet,Banquet Room,Business Center with Internet Access,Concierge,Conference Facilities,Dry Cleaning,Laundry Service,Meeting rooms,Multilingual Staff,Non-smoking hotel,Paid Internet,Paid Wifi,Pets Allowed ( Dog / Pet Friendly ),Public Wifi,Wheelchair access,Air conditioning,Refrigerator in room,Non-smoking rooms,Suites",1,"2,438 reviews",https://www.tripadvisor.com/Hotel_Review-g60745-d94326-Reviews-Hilton_Boston_Downtown_Faneuil_Hall-Boston_Massachusetts.html,58,100
4325990,Residence Inn by Marriott Boston Back Bay/Fenway,60745,60745,3.0,175,"Pool,Free High Speed Internet (WiFi),Fitness Center with Gym / Workout Room,Bar/Lounge,Breakfast included,Business Center with Internet Access,Concierge,Conference Facilities,Dry Cleaning,Heated pool,Indoor pool,Laundry Service,Meeting rooms,Multilingual Staff,Non-smoking hotel,Pets Allowed ( Dog / Pet Friendly ),Self-Serve Laundry,Wheelchair access,Air conditioning,Microwave,Family Rooms,Kitchenette,Non-smoking rooms,Suites",1,"1,993 reviews",https://www.tripadvisor.com/Hotel_Review-g60745-d4325990-Reviews-Residence_Inn_by_Marriott_Boston_Back_Bay_Fenway-Boston_Massachusetts.html,14,100
678412,Renaissance Boston Waterfront Hotel,60745,60745,4.0,471,"Pool,Restaurant,Fitness Center with Gym / Workout Room,Room service,Bar/Lounge,Breakfast Available,Business Center with Internet Access,Concierge,Conference Facilities,Dry Cleaning,Heated pool,Hot Tub,Indoor pool,Laundry Service,Meeting rooms,Multilingual Staff,Non-smoking hotel,Paid Internet,Paid Wifi,Public Wifi,Sauna,Wheelchair access,Air conditioning,Non-smoking rooms,Suites",1,"1,565 reviews",https://www.tripadvisor.com/Hotel_Review-g60745-d678412-Reviews-Renaissance_Boston_Waterfront_Hotel-Boston_Massachusetts.html,6,100
111423,Eliot Hotel,60745,60745,4.0,95,"Room service,Restaurant,Free High Speed Internet (WiFi),Bar/Lounge,Breakfast Available,Business Center with Internet Access,Concierge,Dry Cleaning,Laundry Service,Meeting rooms,Multilingual Staff,Non-smoking hotel,Pets Allowed ( Dog / Pet Friendly ),Public Wifi,Wheelchair access,Air conditioning,Minibar,Accessible rooms,Non-smoking rooms,Suites",1,"1,631 reviews",https://www.tripadvisor.com/Hotel_Review-g60745-d111423-Reviews-Eliot_Hotel-Boston_Massachusetts.html,27,100
8145467,Element Boston Seaport District,60745,60745,3.0,NA,"Pool,Room service,Free High Speed Internet (WiFi),Breakfast included,Fitness Center with Gym / Workout Room,Banquet Room,Breakfast Available,Business Center with Internet Access,Dry Cleaning,Indoor pool,Laundry Service,Meeting rooms,Non-smoking hotel,Pets Allowed ( Dog / Pet Friendly ),Public Wifi,Wheelchair access,Air conditioning,Refrigerator in room,Family Rooms,Kitchenette,Non-smoking rooms,Suites",1,274 reviews,https://www.tripadvisor.com/Hotel_Review-g60745-d8145467-Reviews-Element_Boston_Seaport_District-Boston_Massachusetts.html,26,84
268207,Residence Inn by Marriott Boston Harbor on Tudor Wharf,60745,60745,NA,NA,NA,1,NA,https://www.tripadvisor.com/Hotel_Review-g60745-d268207-Reviews-Residence_Inn_by_Marriott_Boston_Harbor_on_Tudor_Wharf-Boston_Massachusetts.html,NA,NA
3952875,Bricco Suites,60745,60745,3.5,25,"Free High Speed Internet (WiFi),Restaurant,Bar/Lounge,Multilingual Staff,Non-smoking hotel,Air conditioning,Family Rooms,Non-smoking rooms",1,254 reviews,https://www.tripadvisor.com/Hotel_Review-g60745-d3952875-Reviews-Bricco_Suites-Boston_Massachusetts.html,67,100
12882338,AC Hotel by Marriott Boston Downtown,60745,60745,3.5,NA,"Bar/Lounge,Free High Speed Internet (WiFi),Fitness Center with Gym / Workout Room,Restaurant,Business Center with Internet Access,Dry Cleaning,Laundry Service,Meeting rooms,Multilingual Staff,Non-smoking hotel,Wheelchair access,Air conditioning,Non-smoking rooms,Suites",1,203 reviews,https://www.tripadvisor.com/Hotel_Review-g60745-d12882338-Reviews-AC_Hotel_by_Marriott_Boston_Downtown-Boston_Massachusetts.html,15,98
1513541,"Ames Boston Hotel, Curio Collection by Hilton",60745,60745,4.0,115,"Fitness Center with Gym / Workout Room,Free High Speed Internet (WiFi),Breakfast Available,Concierge,Dry Cleaning,Laundry Service,Meeting rooms,Multilingual Staff,Non-smoking hotel,Wheelchair access,Air conditioning,Minibar,Accessible rooms,Family Rooms,Non-smoking rooms,Suites",1,"1,836 reviews",https://www.tripadvisor.com/Hotel_Review-g60745-d1513541-Reviews-Ames_Boston_Hotel_Curio_Collection_by_Hilton-Boston_Massachusetts.html,88,100
1159285,The Inn At St Botolph,60745,60745,3.5,16,"Fitness Center with Gym / Workout Room,Free High Speed Internet (WiFi),Breakfast included,Business Center with Internet Access,Dry Cleaning,Laundry Service,Multilingual Staff,Non-smoking hotel,Self-Serve Laundry,Wheelchair access,Air conditioning,Microwave,Refrigerator in room,Accessible rooms,Family Rooms,Kitchenette,Non-smoking rooms,Suites",1,612 reviews,https://www.tripadvisor.com/Hotel_Review-g60745-d1159285-Reviews-The_Inn_At_St_Botolph-Boston_Massachusetts.html,27,100
222955,"The Ritz-Carlton, Boston",60745,60745,5.0,193,"Restaurant,Fitness Center with Gym / Workout Room,Room service,Free Internet,Bar/Lounge,Spa,Babysitting,Banquet Room,Breakfast Available,Business Center with Internet Access,Concierge,Conference Facilities,Dry Cleaning,Laundry Service,Meeting rooms,Multilingual Staff,Non-smoking hotel,Paid Internet,Paid Wifi,Pets Allowed ( Dog / Pet Friendly ),Public Wifi,Wheelchair access,Air conditioning,Minibar,Accessible rooms,Family Rooms,Non-smoking rooms,Suites",1,963 reviews,https://www.tripadvisor.com/Hotel_Review-g60745-d222955-Reviews-The_Ritz_Carlton_Boston-Boston_Massachusetts.html,53,100
4232689,Residence Inn Boston Downtown/Seaport,60745,60745,3.0,120,"Free High Speed Internet (WiFi),Fitness Center with Gym / Workout Room,Bar/Lounge,Breakfast included,Business Center with Internet Access,Conference Facilities,Dry Cleaning,Laundry Service,Meeting rooms,Multilingual Staff,Non-smoking hotel,Pets Allowed ( Dog / Pet Friendly ),Public Wifi,Self-Serve Laundry,Wheelchair access,Air conditioning,Microwave,Refrigerator in room,Family Rooms,Kitchenette,Non-smoking rooms,Suites",1,558 reviews,https://www.tripadvisor.com/Hotel_Review-g60745-d4232689-Reviews-Residence_Inn_Boston_Downtown_Seaport-Boston_Massachusetts.html,13,100
94372,Boston Hotel Buckminster,60745,60745,3.0,132,"Free High Speed Internet (WiFi),Restaurant,Fitness Center with Gym / Workout Room,Breakfast Available,Business Center with Internet Access,Laundry Service,Multilingual Staff,Non-smoking hotel,Public Wifi,Self-Serve Laundry,Wheelchair access,Air conditioning,Microwave,Refrigerator in room,Non-smoking rooms,Suites",1,"1,841 reviews",https://www.tripadvisor.com/Hotel_Review-g60745-d94372-Reviews-Boston_Hotel_Buckminster-Boston_Massachusetts.html,21,100
234752,Kimpton Nine Zero Hotel,60745,60745,4.5,190,"Room service,Restaurant,Fitness Center with Gym / Workout Room,Bar/Lounge,Free High Speed Internet (WiFi),Breakfast Available,Concierge,Conference Facilities,Dry Cleaning,Laundry Service,Meeting rooms,Multilingual Staff,Non-smoking hotel,Pets Allowed ( Dog / Pet Friendly ),Wheelchair access,Air conditioning,Minibar,Non-smoking rooms,Suites",1,"3,056 reviews",https://www.tripadvisor.com/Hotel_Review-g60745-d234752-Reviews-Kimpton_Nine_Zero_Hotel-Boston_Massachusetts.html,75,100
217000,Studio Allston Hotel,60745,60745,3.5,117,"Restaurant,Free High Speed Internet (WiFi),Free parking,Fitness Center with Gym / Workout Room,Banquet Room,Breakfast Available,Conference Facilities,Dry Cleaning,Meeting rooms,Multilingual Staff,Non-smoking hotel,Pets Allowed ( Dog / Pet Friendly ),Public Wifi,Wheelchair access,Air conditioning,Accessible rooms,Non-smoking rooms,Suites",1,276 reviews,https://www.tripadvisor.com/Hotel_Review-g60745-d217000-Reviews-Studio_Allston_Hotel-Boston_Massachusetts.html,7,52
