Hotel_ID,Area_ID,Location
8145466,60745,"401 D St # 403, Boston, MA 02210-1907"
94368,60745,"240 Mount Vernon Street at Bayside Center, Boston, MA 02125-3120"
225873,60745,"655 Boylston St, Boston, MA 02116-2804"
320038,60745,"811 Massachusetts Avenue, Boston, MA 02118-2605"
3586744,60745,"54 Berkeley St, Boston, MA 02116-6215"
2079076,60745,"14 Union Park, Boston, MA 02118-3700"
222956,60745,"1 India St, Boston, MA 02109-3304"
1200189,60745,"3 Centre Pl, Fort Hill, Boston, MA 02119-1511"
813646,60745,"476 Columbus Ave, Boston, MA 02118-3104"
1672194,60745,"113 Beacon St, Boston, MA 02116-1533"
13846823,60745,"7 Doris St, Boston, MA 02125-1427"
15113557,60745,"1 Maple St, Boston, MA 02121-2502"
15631603,60745,"35 S Huntington Ave, Boston, MA 02130-4788"
15750391,60745,"315 A St Ste A, Boston, MA 02210-1660"
1157193,60745,"1 Devonshire Pl, Boston, MA 02109-3510"
13119752,60745,"1 Longfellow Pl, Boston, MA 02114-2438"
16748526,60745,"36 Moseley St, Boston, MA 02125-1356"
15641208,60745,"345 Harrison Ave, Boston, MA 02118-3054"
12104852,60745,"180 Brookline Ave, Boston, MA 02215-3938"
10169149,60745,"50 Lewis St, Boston, MA 02128-2784"
15618152,60745,"6 W Broadway, Boston, MA 02127-1016"
16639143,60745,"44 Concord Square, Boston, MA 02118-3110"
15641193,60745,NA
15641223,60745,"100 Pier 4 Blvd, Boston, MA 02210-1887"
89596,60745,"22 Edgerly Rd, Fenway Kenmore, Boston, MA 02115-3007"
15618152,60745,"6 W Broadway, Boston, MA 02127-1016"
15264230,60745,"Garrison and ST Botolph, Boston, MA 02116"
15692493,60745,"28 Exeter St, Boston, MA 02116-2841"
16935822,60745,"109 Strathmore Rd, Boston, MA 02135-7118"
15323995,60745,NA
15641186,60745,"665 Washington St, Boston, MA 02111-1636"
15641193,60745,"101 Canal St, Boston, MA 02114-1807"
15640955,60745,"505 Congress St, Boston, MA 02210-2902"
15649228,60745,"1335 Boylston St, Boston, MA 02215-3940"
15641219,60745,"1330 Boylston St, Boston, MA 02215-4229"
15641204,60745,"315 A St Ste A, Boston, MA 02210-1660"
15810825,60745,"728 E Broadway, Boston, MA 02127-1504"
15647517,60745,"1 Longfellow Pl, Boston, MA 02114-2438"
15641127,60745,"120 Kingston St, Boston, MA 02111-2157"
15641102,60745,"99 Kneeland St, Boston, MA 02111-2431"
15649221,60745,"175 Blossom St, Boston, MA 02114-2622"
15647326,60745,"422 Bowdoin St, Boston, MA 02122-1826"
15637104,60745,"284 Marlborough St, Boston, MA 02116-1633"
15521011,60745,"228 Normandy St, Boston, MA 02121-3312"
15661091,60745,"90 Warrenton St Apt 8, Boston, MA 02116-5618"
16935735,60745,NA
15226189,60745,"422 Bowdoin St, Boston, MA 02122-1826"
113623,60745,"14 David G Mugar Way, Boston, MA 02114-3203"
1206836,60745,"72 Bay State Rd, Boston, MA 02215"
1577042,60745,"Montgomery St at Dartmouth St, Boston, MA 02116"
254294,60745,"28 Constitution Rd, Charlestown, Boston, MA 02129-2008"
621896,60745,"10 G St, South Boston, Boston, MA 02127-1409"
1577043,60745,"W Canton St at Montgomery St, Boston, MA 02118"
611346,60745,"30 Beaumont St, Dorchester, Boston, MA 02124-5008"
113622,60745,"Chandler St. at Clarendon St, Boston, MA 02115"
478706,60745,"80 Elm St, Charlestown, Boston, MA 02129-1944"
10170222,60745,"232 Friend St, Boston, MA 02114-1801"
12514053,60745,"44 Concord Square, Boston, MA 02118-3110"
